"","probability"
"region 15",0.942902886063649
"region 39",0.89311263088277
"region 43",0.811737095138439
"region 62",0.527831081109338
"region 65",0.426636836919909
"region 76",0.680788701370988
"region 88",0.44721989874854
"region 90",0.745603962836902
"region 111",0.672899442382216
"region 134",0.608017131392762
"region 139",0.804082982032169
"region 160",0.938718299045177
"region 167",0.891128059624435
"region 174",0.545460058263392
"region 186",0.894115527412788
"region 190",0.853062186763254
"region 212",0.961170016832707
"region 217",0.784131639587918
"region 218",0.900249848251149
"region 224",0.865063070240844
"region 232",0.815094708381851
"region 234",0.141197550092577
"region 257",0.682980259925336
"region 266",0.936771208434973
"region 284",0.659427639524081
"region 286",0.97280952779678
"region 292",0.79953163005429
"region 298",0.358308728352392
"region 302",0.918663270302668
"region 311",0.731363853647063
"region 349",0.97578284611917
"region 356",0.92856074990494
"region 362",0.349983452757888
"region 368",0.90859191581781
"region 373",0.935393841836294
"region 394",0.960968868837069
"region 404",0.785901924231605
"region 411",0.970519189110658
"region 419",0.743922266977453
"region 425",0.926555714766295
"region 431",0.731735840396381
"region 437",0.972295493255693
"region 446",0.907197814477513
"region 447",0.557806840664172
"region 488",0.829516492178336
"region 497",0.496803617582437
"region 532",0.967968341089631
"region 547",0.960143478427677
"region 553",0.974384686290066
"region 559",0.934001894838295
"region 565",0.345352017130603
"region 571",0.947582374724844
"region 587",0.848415320316813
"region 589",0.0934718180184051
"region 594",0.851637004641701
"region 601",0.671244248591903
"region 607",0.878715845963432
"region 610",0.93912288303548
"region 622",0.905674892602074
"region 623",0.986701630547908
"region 632",0.377336486862095
"region 658",0.847513411947911
"region 681",0.803959305059742
"region 690",0.806611566779122
"region 719",0.885770227118945
"region 741",0.909264860130487
"region 743",0.958359626734508
"region 789",0.0629914649088178
"region 794",0.843000561510665
"region 795",0.975207397773306
"region 811",0.42385000265124
"region 825",0.954088511824324
"region 832",0.936045024080319
"region 879",0.91953415127972
"region 882",0.67858266247322
"region 883",0.62583637403808
"region 907",0.913192233288583
"region 932",0.93567690983252
"region 936",0.811205633100576
"region 950",0.64719157547429
"region 957",0.350151834886762
"region 967",0.896677912435208
"region 968",0.2599157522123
"region 971",0.907247766846118
"region 977",0.617539327419327
"region 1008",0.956752870041642
"region 1016",0.881030772446076
"region 1019",0.886191589289891
"region 1055",0.685142084323799
"region 1071",0.569597906810597
"region 1077",0.881086341564737
"region 1084",0.584532876252523
"region 1104",0.716891273808862
"region 1122",0.911780757781329
"region 1127",0.0618355634297347
"region 1129",0.772407912076587
"region 1169",0.870950532027888
"region 1181",0.929489517659483
"region 1191",0.784055525733103
"region 1217",0.98241838206335
"region 1239",0.862128813820347
"region 1251",0.883207711243215
"region 1262",0.83814127611974
"region 1273",0.845523359300826
"region 1276",0.557046827417735
